class   coords1   coords2   coords3   coords4   confidence_value   objectID
0 0.818549 0.568166 0.342195 0.41849 0.647984 27

0 0.792834 0.67964 0.391848 0.638289 0.815514 12
56 0.840968 0.887004 0.316164 0.225127 0.693751 11
0 0.195605 0.547605 0.274503 0.330962 0.82023 16
0 0.208649 0.727944 0.417298 0.540128 0.858017 22
56 0.536653 0.797944 0.185394 0.309375 0.848936 24
56 0.910635 0.745065 0.17873 0.0910358 0.649164 28

0 0.794526 0.679889 0.393094 0.639838 0.793659 12
56 0.840958 0.886852 0.316612 0.22545 0.698653 11
0 0.193676 0.580561 0.32015 0.397539 0.746965 16
0 0.19909 0.730862 0.398179 0.534449 0.663661 22
56 0.537547 0.794005 0.180756 0.303379 0.888286 24
56 0.910989 0.745113 0.178021 0.0903734 0.587362 28
0 0.820337 0.571129 0.346875 0.424327 0.60664 27

0 0.795959 0.680114 0.39404 0.639772 0.850198 12
56 0.840928 0.88721 0.315699 0.224689 0.709508 11
0 0.191382 0.59066 0.326021 0.414344 0.801354 16
0 0.187076 0.734949 0.374152 0.527705 0.693538 22
56 0.537437 0.794674 0.181333 0.306299 0.887426 24
56 0.909971 0.7456 0.180059 0.0934471 0.614339 28

0 0.796693 0.678999 0.396395 0.642001 0.8705 12
56 0.840869 0.886585 0.317316 0.225937 0.721697 11
0 0.189154 0.59041 0.322169 0.4175 0.544355 16
0 0.163425 0.734693 0.32685 0.528648 0.639575 22
56 0.537901 0.791872 0.176859 0.29951 0.902303 24
56 0.91113 0.743553 0.17774 0.0905834 0.580013 28

0 0.796913 0.678563 0.39779 0.642875 0.826647 12
56 0.840835 0.887071 0.316211 0.225044 0.634058 11
0 0.188246 0.5922 0.317076 0.418221 0.675431 16
0 0.152092 0.736585 0.304185 0.525125 0.709366 22
56 0.537822 0.794837 0.178419 0.30338 0.89191 24
56 0.910983 0.743486 0.178034 0.0909884 0.582737 28

0 0.796903 0.677956 0.397817 0.642122 0.790302 12
56 0.840843 0.887389 0.31553 0.224435 0.731721 11
0 0.18844 0.594284 0.31369 0.421044 0.632576 16
0 0.145471 0.735742 0.290942 0.526787 0.742609 22
56 0.537796 0.794225 0.17729 0.302661 0.900006 24
56 0.911572 0.74442 0.176857 0.0899869 0.548577 28
56 0.204242 0.852295 0.21414 0.294432 0.532597 29

0 0.796973 0.676446 0.398657 0.642556 0.782187 12
56 0.840693 0.886914 0.316902 0.225447 0.662728 11
0 0.188288 0.592874 0.308242 0.420344 0.650906 16
0 0.138448 0.735108 0.276897 0.528039 0.755931 22
56 0.538072 0.791871 0.174448 0.298346 0.891543 24
56 0.910919 0.744305 0.178161 0.0915929 0.485274 28
56 0.20398 0.853607 0.211765 0.291428 0.602118 29

0 0.180834 0.708682 0.361669 0.58054 0.951234 1
0 0.439452 0.895787 0.165926 0.207199 0.851668 2

0 0.796285 0.675594 0.402145 0.647371 0.850116 12
56 0.840647 0.887085 0.316451 0.225035 0.629368 11
0 0.188262 0.594293 0.305405 0.422843 0.741251 16
0 0.133344 0.736801 0.266689 0.524539 0.739947 22
56 0.536774 0.793203 0.177826 0.305493 0.848599 24
56 0.910843 0.745341 0.178314 0.0926691 0.54184 28
56 0.204705 0.85441 0.21024 0.28927 0.497179 29

0 0.796341 0.675421 0.403468 0.648875 0.872676 12
56 0.84055 0.88743 0.315693 0.224332 0.611654 11
0 0.188098 0.594885 0.300525 0.421672 0.768293 16
0 0.128389 0.738021 0.256778 0.521932 0.758723 22
56 0.537362 0.801119 0.182466 0.316279 0.882369 24
56 0.911442 0.745954 0.177115 0.0909415 0.505562 28
56 0.202533 0.853837 0.211112 0.290461 0.555933 29

0 0.796013 0.673459 0.4062 0.653083 0.873511 12
56 0.84051 0.886884 0.317155 0.225402 0.708666 11
0 0.187733 0.592468 0.295875 0.420169 0.657327 16
0 0.125191 0.736412 0.250382 0.525107 0.744162 22
56 0.536965 0.801214 0.181359 0.316614 0.87008 24
56 0.911671 0.745047 0.176657 0.090454 0.457816 28
56 0.200693 0.852533 0.212871 0.293111 0.536332 29

0 0.796391 0.673797 0.405909 0.652405 0.867694 12
56 0.840575 0.887279 0.316174 0.224604 0.656324 11
0 0.188028 0.593515 0.292926 0.42075 0.665011 16
0 0.121886 0.736544 0.243771 0.525064 0.717093 22
56 0.536508 0.799419 0.178114 0.312029 0.867076 24
56 0.20132 0.851796 0.214052 0.294792 0.489438 29

0 0.794295 0.673225 0.407208 0.65355 0.846833 12
56 0.84033 0.887047 0.316876 0.225039 0.696423 11
0 0.18794 0.59285 0.28895 0.419044 0.740839 16
0 0.119157 0.736415 0.238314 0.525494 0.741509 22
56 0.536911 0.798077 0.176264 0.310259 0.853581 24
56 0.200792 0.851832 0.213625 0.294542 0.493101 29
56 0.911627 0.745092 0.175749 0.089897 0.510986 28

0 0.794305 0.672332 0.408324 0.655107 0.834903 12
56 0.840435 0.886945 0.317145 0.225221 0.63605 11
0 0.18789 0.593591 0.28664 0.419844 0.815823 16
0 0.116886 0.736104 0.233773 0.525874 0.739537 22
56 0.536548 0.798116 0.175777 0.310788 0.868218 24
56 0.203112 0.853322 0.211657 0.292259 0.521612 29

0 0.794636 0.671214 0.409786 0.657471 0.850009 12
56 0.840402 0.886673 0.317844 0.22577 0.589166 11
0 0.188424 0.59282 0.28432 0.420325 0.802543 16
0 0.11531 0.735631 0.23062 0.526774 0.730365 22
56 0.53681 0.796697 0.173338 0.307342 0.889498 24
56 0.202905 0.853767 0.21077 0.291899 0.606455 29

0 0.795599 0.672484 0.408277 0.655031 0.865508 12
56 0.840701 0.888217 0.313741 0.2224 0.688971 11
0 0.188459 0.594888 0.281351 0.41931 0.785103 16
0 0.113123 0.737036 0.226245 0.523936 0.744225 22
